,City,lat,lng,max temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,tigil,57.8,158.6667,8.870000000000005,80.0,100.0,1.84,RU,1623088752.0
73,ucluelet,48.9329,-125.5528,13.939999999999998,86.0,82.0,2.82,CA,1623088533.0
74,talnakh,69.4865,88.3972,-2.4399999999999977,94.0,100.0,1.12,RU,1623088753.0
75,atherton,53.5237,-2.4935,21.200000000000045,59.0,100.0,3.13,GB,1623088753.0
76,geri,35.1,33.4167,25.660000000000025,29.0,0.0,5.66,CY,1623088753.0
77,englehart,47.8169,-79.8664,32.01000000000005,45.0,75.0,5.56,CA,1623088754.0
79,belmonte,-15.8631,-38.8828,28.0,85.0,81.0,3.44,BR,1623088754.0
80,moshenskoye,58.5102,34.5911,14.240000000000009,87.0,73.0,2.86,RU,1623088754.0
82,hays,30.0502,-98.0336,28.939999999999998,83.0,100.0,2.24,US,1623088755.0
83,tigre,-34.426,-58.5796,16.25,75.0,0.0,4.12,AR,1623088611.0
84,sola,-13.8833,167.55,26.07000000000005,77.0,97.0,9.4,VU,1623088755.0
85,wajir,1.7471,40.0573,30.980000000000018,45.0,1.0,6.17,KE,1623088756.0
86,chenzhou,25.8,113.0333,23.850000000000023,84.0,84.0,1.39,CN,1623088756.0
87,gondar,12.6,37.4667,19.840000000000032,54.0,86.0,3.19,ET,1623088756.0
88,port lincoln,-34.7333,135.8667,10.860000000000014,64.0,94.0,11.36,AU,1623088757.0
89,hit,33.6416,42.8251,31.840000000000032,15.0,0.0,4.8,IQ,1623088757.0
90,amazar,53.858,120.875,12.450000000000045,95.0,13.0,1.55,RU,1623088757.0
91,luebo,-5.35,21.4167,25.410000000000025,60.0,63.0,0.48,CD,1623088751.0
92,alice town,25.7167,-79.3,26.58000000000004,77.0,59.0,7.54,BS,1623088758.0
93,panorama,40.5878,23.0315,20.24000000000001,79.0,40.0,0.45,GR,1623088758.0
94,ananas,19.2466,-71.9557,26.04000000000002,40.0,28.0,1.87,HT,1623088758.0
95,nyaunglebin,17.95,96.7333,25.350000000000023,90.0,100.0,1.92,MM,1623088759.0
96,zhigansk,66.7697,123.3711,8.310000000000002,48.0,60.0,11.45,RU,1623088759.0
97,maniwaki,46.3834,-75.966,31.30000000000001,45.0,51.0,4.76,CA,1623088688.0
98,cincu,45.9167,24.8,20.79000000000002,79.0,20.0,0.16,RO,1623088760.0
100,jinchang,38.4953,102.1739,18.07000000000005,47.0,64.0,2.49,CN,1623088760.0
101,bratsk,56.1325,101.6142,12.270000000000039,96.0,30.0,2.38,RU,1623088760.0
102,nambucca heads,-30.65,153.0,14.0,85.0,87.0,2.38,AU,1623088761.0
103,sebring,27.4956,-81.4409,33.77000000000004,52.0,1.0,0.45,US,1623088761.0
104,havoysund,70.9963,24.6622,11.490000000000009,80.0,94.0,4.55,NO,1623088761.0
105,wanning,18.8003,110.3967,26.900000000000034,86.0,89.0,1.6,CN,1623088762.0
106,dezful,32.3811,48.4058,35.10000000000002,7.0,0.0,6.04,IR,1623088762.0
107,kazachinskoye,57.6953,93.2761,5.760000000000048,67.0,53.0,1.12,RU,1623088762.0
108,sheffield lake,41.4875,-82.1015,27.730000000000018,81.0,100.0,0.89,US,1623088762.0
109,lumphat,13.4878,106.9816,23.379999999999995,99.0,100.0,1.33,KH,1623088763.0
110,novotitarovskaya,45.2356,38.9792,17.260000000000048,77.0,38.0,3.81,RU,1623088763.0
111,kungurtug,50.5994,97.5228,3.490000000000009,86.0,11.0,0.43,RU,1623088763.0
112,timiryazevskiy,56.49,84.8769,12.870000000000005,94.0,95.0,2.53,RU,1623088764.0
113,bathsheba,13.2167,-59.5167,31.340000000000032,55.0,40.0,9.26,BB,1623088764.0
114,ouesso,1.6136,16.0517,23.150000000000034,88.0,44.0,1.2,CG,1623088764.0
115,tieli,46.95,128.05,12.57000000000005,84.0,2.0,1.35,CN,1623088765.0
116,kendari,-3.945,122.4989,23.25,89.0,25.0,0.89,ID,1623088765.0
118,bandarbeyla,9.4942,50.8122,26.960000000000036,80.0,3.0,13.71,SO,1623088766.0
119,agirish,61.9247,63.0231,5.340000000000032,59.0,33.0,1.7,RU,1623088766.0
120,hobart,-42.8794,147.3294,12.28000000000003,77.0,40.0,3.28,AU,1623088654.0
121,isangel,-19.55,169.2667,21.379999999999995,65.0,96.0,4.73,VU,1623088766.0
122,miraflores,19.2167,-98.8083,22.150000000000034,27.0,95.0,1.59,MX,1623088767.0
123,huntington,38.4193,-82.4452,29.140000000000043,96.0,100.0,2.07,US,1623088579.0
124,staryy nadym,65.6118,72.6842,5.580000000000041,61.0,86.0,1.84,RU,1623088767.0
125,maltahohe,-24.8333,16.9833,16.400000000000034,34.0,47.0,5.48,NA,1623088767.0
126,katobu,-4.9408,122.5276,22.980000000000018,93.0,9.0,1.38,ID,1623088768.0
127,chaman,30.9236,66.4512,30.78000000000003,9.0,0.0,1.34,PK,1623088768.0
128,rudsar,37.1376,50.288,20.99000000000001,85.0,42.0,1.62,IR,1623088768.0
129,pringsewu,-5.3582,104.9744,23.980000000000018,92.0,34.0,2.52,ID,1623088769.0
130,ilulissat,69.2167,-51.1,7.53000000000003,57.0,0.0,2.81,GL,1623088769.0
131,thunder bay,48.4001,-89.3168,28.950000000000045,22.0,40.0,3.6,CA,1623088769.0
132,thompson,55.7435,-97.8558,13.090000000000032,54.0,75.0,2.06,CA,1623088770.0
133,that phanom,16.9364,104.7104,24.160000000000025,94.0,100.0,3.2,TH,1623088770.0
134,hithadhoo,-0.6,73.0833,28.590000000000032,69.0,59.0,5.76,MV,1623088731.0
136,heishan,41.6892,122.1128,17.930000000000007,76.0,86.0,1.65,CN,1623088771.0
137,ulaangom,49.9811,92.0667,11.970000000000027,45.0,16.0,0.6,MN,1623088771.0
138,providencia,28.7167,-111.5833,36.03000000000003,26.0,35.0,5.81,MX,1623088771.0
139,verpelet,47.85,20.2333,19.400000000000034,72.0,32.0,0.65,HU,1623088772.0
140,betzdorf,50.7833,7.8833,19.470000000000027,79.0,99.0,1.29,DE,1623088772.0
141,russell,32.3502,-85.1999,30.600000000000023,89.0,90.0,3.05,US,1623088569.0
